DCorr,MGC,n,dataset
0.049,0.021,20,equal
0.693,0.696,20,equal
0.296,0.292,20,equal
0.711,0.717,20,equal
0.028,0.005,20,equal
0.815,0.847,20,equal
0.016,0.005,20,equal
0.864,0.883,20,equal
0.997,0.994,20,equal
0.409,0.412,20,equal
0.007,0.001,20,equal
0.287,0.306,20,equal
0.76,0.746,20,equal
0.999,0.999,20,equal
0.855,0.832,20,equal
0.789,0.795,20,equal
0.76,0.741,20,equal
0.71,0.712,20,equal
0.821,0.818,20,equal
0.694,0.71,20,equal
0.436,0.459,20,equal
0.414,0.405,20,equal
0.031,0.043,20,equal
0.91,0.899,20,equal
0.099,0.024,20,equal
0.231,0.249,20,equal
0.812,0.815,20,equal
0.998,0.999,20,equal
0.224,0.228,20,equal
0.118,0.143,20,equal
0.423,0.479,20,equal
0.347,0.335,20,equal
0.333,0.338,20,equal
0.224,0.23,20,equal
0.183,0.206,20,equal
0.873,0.865,20,equal
0.26,0.244,20,equal
0.49,0.496,20,equal
0.488,0.454,20,equal
0.919,0.909,20,equal
0.886,0.903,20,equal
0.917,0.931,20,equal
0.883,0.886,20,equal
0.042,0.02,20,equal
0.22,0.215,20,equal
0.711,0.691,20,equal
0.557,0.541,20,equal
0.649,0.635,20,equal
0.716,0.706,20,equal
0.573,0.568,20,equal
0.143,0.139,20,equal
0.264,0.259,20,equal
0.733,0.747,20,equal
0.852,0.84,20,equal
0.058,0.065,20,equal
0.176,0.154,20,equal
0.521,0.503,20,equal
0.181,0.217,20,equal
0.538,0.502,20,equal
0.779,0.778,20,equal
0.35,0.384,20,equal
0.875,0.874,20,equal
0.928,0.921,20,equal
0.868,0.872,20,equal
0.274,0.262,20,equal
0.399,0.404,20,equal
0.167,0.204,20,equal
0.59,0.59,20,equal
0.748,0.742,20,equal
0.663,0.642,20,equal
0.47,0.461,20,equal
0.227,0.247,20,equal
0.48,0.497,20,equal
0.622,0.649,20,equal
0.307,0.288,20,equal
0.858,0.872,20,equal
0.896,0.863,20,equal
0.908,0.894,20,equal
0.57,0.589,20,equal
0.699,0.688,20,equal
0.508,0.524,20,equal
0.58,0.585,20,equal
0.455,0.426,20,equal
0.155,0.153,20,equal
0.512,0.526,20,equal
0.6,0.64,20,equal
0.742,0.74,20,equal
0.897,0.877,20,equal
0.587,0.568,20,equal
0.68,0.65,20,equal
0.468,0.474,20,equal
0.406,0.423,20,equal
0.848,0.845,20,equal
