DCorr,MGC,n,dataset
0.226,0.212,20,equal
0.837,0.825,20,equal
0.696,0.652,20,equal
0.687,0.694,20,equal
0.7,0.702,20,equal
0.627,0.672,20,equal
0.682,0.697,20,equal
0.933,0.93,20,equal
0.235,0.215,20,equal
0.271,0.248,20,equal
0.637,0.627,20,equal
0.036,0.023,20,equal
0.119,0.024,20,equal
0.306,0.313,20,equal
0.353,0.364,20,equal
0.381,0.42,20,equal
0.915,0.95,20,equal
0.274,0.252,20,equal
0.605,0.632,20,equal
0.648,0.66,20,equal
0.862,0.857,20,equal
0.592,0.632,20,equal
0.48,0.49,20,equal
0.354,0.383,20,equal
0.578,0.55,20,equal
0.458,0.441,20,equal
0.356,0.378,20,equal
0.324,0.315,20,equal
0.753,0.772,20,equal
0.056,0.016,20,equal
0.268,0.293,20,equal
0.718,0.74,20,equal
0.666,0.655,20,equal
0.66,0.665,20,equal
0.201,0.244,20,equal
0.224,0.235,20,equal
0.861,0.852,20,equal
0.999,0.999,20,equal
0.969,0.959,20,equal
0.16,0.17,20,equal
0.551,0.57,20,equal
0.442,0.429,20,equal
0.484,0.537,20,equal
0.519,0.516,20,equal
0.237,0.239,20,equal
0.542,0.523,20,equal
0.73,0.75,20,equal
0.731,0.72,20,equal
0.719,0.733,20,equal
0.534,0.5,20,equal
0.604,0.585,20,equal
0.117,0.124,20,equal
0.807,0.782,20,equal
0.27,0.27,20,equal
0.121,0.142,20,equal
0.663,0.686,20,equal
0.971,0.957,20,equal
0.45,0.418,20,equal
0.756,0.759,20,equal
0.077,0.031,20,equal
0.96,0.964,20,equal
0.756,0.751,20,equal
0.312,0.31,20,equal
0.276,0.29,20,equal
0.936,0.939,20,equal
0.879,0.888,20,equal
0.566,0.562,20,equal
0.902,0.903,20,equal
0.65,0.649,20,equal
0.044,0.042,20,equal
0.528,0.532,20,equal
0.211,0.23,20,equal
0.515,0.511,20,equal
0.246,0.248,20,equal
0.361,0.381,20,equal
0.028,0.024,20,equal
0.839,0.833,20,equal
0.501,0.505,20,equal
0.332,0.329,20,equal
0.642,0.609,20,equal
0.435,0.458,20,equal
0.935,0.944,20,equal
0.632,0.629,20,equal
0.073,0.073,20,equal
0.899,0.89,20,equal
0.484,0.502,20,equal
0.414,0.372,20,equal
0.134,0.145,20,equal
0.695,0.667,20,equal
0.995,0.996,20,equal
0.713,0.72,20,equal
0.727,0.72,20,equal
0.925,0.915,20,equal
0.784,0.754,20,equal
0.555,0.545,20,equal
0.443,0.431,20,equal
0.605,0.583,20,equal
0.404,0.397,20,equal
0.055,0.083,20,equal
0.058,0.06,20,equal
0.012,0.009,20,equal
0.841,0.827,20,equal
0.585,0.596,20,equal
0.416,0.452,20,equal
0.442,0.444,20,equal
0.441,0.429,20,equal
0.368,0.38,20,equal
0.803,0.801,20,equal
0.812,0.797,20,equal
0.465,0.477,20,equal
0.439,0.463,20,equal
0.884,0.87,20,equal
0.943,0.953,20,equal
0.99,0.997,20,equal
0.679,0.684,20,equal
0.595,0.582,20,equal
0.504,0.535,20,equal
0.675,0.679,20,equal
0.914,0.926,20,equal
0.168,0.214,20,equal
0.46,0.489,20,equal
0.511,0.493,20,equal
0.96,0.959,20,equal
0.552,0.579,20,equal
0.938,0.937,20,equal
0.546,0.565,20,equal
0.844,0.845,20,equal
0.273,0.272,20,equal
0.762,0.75,20,equal
0.283,0.252,20,equal
0.222,0.22,20,equal
0.708,0.737,20,equal
0.517,0.525,20,equal
0.157,0.173,20,equal
0.763,0.731,20,equal
0.423,0.402,20,equal
0.887,0.889,20,equal
0.306,0.292,20,equal
0.645,0.623,20,equal
0.562,0.553,20,equal
0.862,0.842,20,equal
0.763,0.783,20,equal
0.365,0.377,20,equal
0.951,0.951,20,equal
0.294,0.275,20,equal
0.852,0.849,20,equal
0.822,0.851,20,equal
0.709,0.717,20,equal
0.607,0.638,20,equal
0.347,0.354,20,equal
0.934,0.933,20,equal
0.32,0.303,20,equal
0.314,0.341,20,equal
0.929,0.922,20,equal
0.021,0.004,20,equal
0.101,0.098,20,equal
0.964,0.974,20,equal
0.363,0.382,20,equal
0.144,0.164,20,equal
0.971,0.971,20,equal
0.742,0.762,20,equal
0.401,0.379,20,equal
0.693,0.68,20,equal
0.671,0.664,20,equal
0.49,0.548,20,equal
0.642,0.647,20,equal
0.278,0.25,20,equal
0.792,0.794,20,equal
0.157,0.182,20,equal
0.845,0.858,20,equal
0.041,0.045,20,equal
0.598,0.591,20,equal
0.659,0.655,20,equal
0.962,0.966,20,equal
0.379,0.396,20,equal
0.101,0.11,20,equal
0.675,0.659,20,equal
0.635,0.662,20,equal
0.991,0.991,20,equal
0.035,0.048,20,equal
0.235,0.201,20,equal
0.885,0.896,20,equal
0.255,0.246,20,equal
0.282,0.295,20,equal
0.523,0.489,20,equal
0.12,0.134,20,equal
0.709,0.694,20,equal
0.87,0.876,20,equal
0.806,0.832,20,equal
0.276,0.28,20,equal
0.577,0.581,20,equal
0.153,0.17,20,equal
0.112,0.103,20,equal
0.709,0.728,20,equal
0.252,0.277,20,equal
0.039,0.052,20,equal
0.362,0.355,20,equal
0.337,0.326,20,equal
0.008,0.005,20,equal
0.897,0.89,20,equal
0.096,0.091,20,equal
0.281,0.281,20,equal
0.517,0.48,20,equal
0.177,0.186,20,equal
0.879,0.861,20,equal
0.816,0.814,20,equal
0.189,0.209,20,equal
0.12,0.134,20,equal
0.364,0.346,20,equal
0.451,0.434,20,equal
0.567,0.556,20,equal
0.525,0.509,20,equal
0.668,0.702,20,equal
0.711,0.731,20,equal
0.928,0.941,20,equal
0.099,0.084,20,equal
0.463,0.431,20,equal
0.791,0.817,20,equal
0.802,0.829,20,equal
0.939,0.934,20,equal
0.102,0.113,20,equal
0.949,0.939,20,equal
0.62,0.628,20,equal
0.929,0.921,20,equal
0.444,0.424,20,equal
0.71,0.649,20,equal
0.354,0.373,20,equal
0.972,0.977,20,equal
0.795,0.794,20,equal
0.53,0.527,20,equal
0.111,0.087,20,equal
0.217,0.217,20,equal
0.626,0.623,20,equal
0.338,0.354,20,equal
0.937,0.944,20,equal
0.834,0.824,20,equal
0.205,0.231,20,equal
0.814,0.809,20,equal
0.707,0.707,20,equal
0.357,0.37,20,equal
0.397,0.385,20,equal
0.224,0.253,20,equal
0.744,0.765,20,equal
0.389,0.357,20,equal
0.977,0.987,20,equal
0.138,0.136,20,equal
0.598,0.6,20,equal
0.871,0.862,20,equal
0.889,0.891,20,equal
0.287,0.294,20,equal
0.591,0.602,20,equal
0.573,0.552,20,equal
0.638,0.645,20,equal
0.88,0.884,20,equal
0.488,0.508,20,equal
0.977,0.978,20,equal
0.075,0.067,20,equal
0.995,0.994,20,equal
0.398,0.403,20,equal
0.818,0.804,20,equal
0.644,0.679,20,equal
0.001,0.004,20,equal
0.204,0.2,20,equal
0.51,0.541,20,equal
0.073,0.092,20,equal
0.781,0.803,20,equal
0.23,0.216,20,equal
0.791,0.812,20,equal
0.864,0.861,20,equal
0.906,0.907,20,equal
0.744,0.745,20,equal
0.384,0.404,20,equal
0.334,0.328,20,equal
0.637,0.683,20,equal
0.922,0.933,20,equal
0.128,0.14,20,equal
0.028,0.02,20,equal
0.406,0.413,20,equal
0.888,0.912,20,equal
0.219,0.232,20,equal
0.313,0.3,20,equal
0.149,0.172,20,equal
0.552,0.579,20,equal
0.642,0.666,20,equal
0.355,0.39,20,equal
0.073,0.013,20,equal
0.603,0.564,20,equal
0.613,0.574,20,equal
0.096,0.116,20,equal
0.718,0.723,20,equal
0.057,0.058,20,equal
0.88,0.869,20,equal
0.266,0.256,20,equal
0.951,0.93,20,equal
0.193,0.209,20,equal
0.129,0.14,20,equal
0.912,0.916,20,equal
0.152,0.147,20,equal
0.856,0.839,20,equal
0.462,0.443,20,equal
0.675,0.651,20,equal
0.166,0.157,20,equal
0.83,0.845,20,equal
0.016,0.001,20,equal
0.248,0.259,20,equal
0.283,0.297,20,equal
0.634,0.613,20,equal
0.05,0.087,20,equal
0.557,0.571,20,equal
0.661,0.632,20,equal
0.243,0.258,20,equal
0.636,0.664,20,equal
0.481,0.508,20,equal
0.122,0.116,20,equal
0.097,0.106,20,equal
0.847,0.853,20,equal
0.28,0.313,20,equal
0.522,0.498,20,equal
0.506,0.519,20,equal
0.778,0.757,20,equal
0.583,0.578,20,equal
0.478,0.46,20,equal
0.767,0.781,20,equal
0.522,0.543,20,equal
0.383,0.404,20,equal
0.265,0.274,20,equal
0.557,0.554,20,equal
0.469,0.497,20,equal
0.057,0.069,20,equal
0.619,0.605,20,equal
0.257,0.258,20,equal
0.099,0.095,20,equal
0.211,0.206,20,equal
0.167,0.187,20,equal
0.8,0.805,20,equal
0.826,0.816,20,equal
0.631,0.616,20,equal
0.021,0.042,20,equal
0.963,0.966,20,equal
1.0,0.998,20,equal
0.792,0.799,20,equal
0.65,0.668,20,equal
0.438,0.415,20,equal
0.576,0.574,20,equal
0.495,0.51,20,equal
0.486,0.498,20,equal
0.878,0.856,20,equal
0.978,0.947,20,equal
0.875,0.851,20,equal
0.097,0.095,20,equal
0.387,0.388,20,equal
0.345,0.371,20,equal
0.618,0.609,20,equal
0.753,0.74,20,equal
0.625,0.586,20,equal
0.183,0.168,20,equal
0.473,0.494,20,equal
0.865,0.882,20,equal
0.659,0.679,20,equal
0.901,0.889,20,equal
0.793,0.777,20,equal
0.705,0.706,20,equal
0.312,0.32,20,equal
0.736,0.722,20,equal
0.952,0.949,20,equal
0.35,0.338,20,equal
0.627,0.622,20,equal
0.144,0.02,20,equal
0.993,0.993,20,equal
0.435,0.419,20,equal
0.831,0.848,20,equal
0.389,0.397,20,equal
0.564,0.558,20,equal
0.384,0.432,20,equal
0.882,0.894,20,equal
0.433,0.403,20,equal
0.875,0.892,20,equal
0.931,0.917,20,equal
0.961,0.95,20,equal
0.13,0.122,20,equal
0.884,0.885,20,equal
0.813,0.809,20,equal
0.321,0.312,20,equal
0.039,0.063,20,equal
0.378,0.42,20,equal
0.238,0.248,20,equal
0.035,0.052,20,equal
0.979,0.984,20,equal
0.645,0.627,20,equal
0.69,0.707,20,equal
0.437,0.45,20,equal
0.972,0.967,20,equal
0.363,0.387,20,equal
0.358,0.348,20,equal
0.86,0.832,20,equal
0.293,0.299,20,equal
0.742,0.757,20,equal
0.571,0.584,20,equal
0.613,0.601,20,equal
0.006,0.017,20,equal
0.121,0.115,20,equal
0.296,0.299,20,equal
0.382,0.383,20,equal
0.208,0.206,20,equal
0.527,0.517,20,equal
0.848,0.855,20,equal
0.59,0.576,20,equal
0.867,0.869,20,equal
0.87,0.879,20,equal
0.843,0.817,20,equal
0.548,0.564,20,equal
0.874,0.868,20,equal
0.227,0.214,20,equal
0.132,0.135,20,equal
0.224,0.238,20,equal
0.459,0.427,20,equal
0.407,0.405,20,equal
0.738,0.685,20,equal
0.269,0.276,20,equal
0.042,0.062,20,equal
0.624,0.647,20,equal
0.163,0.202,20,equal
0.056,0.054,20,equal
0.872,0.849,20,equal
0.521,0.518,20,equal
0.211,0.196,20,equal
0.037,0.055,20,equal
0.422,0.381,20,equal
0.819,0.833,20,equal
0.84,0.859,20,equal
0.934,0.939,20,equal
0.942,0.958,20,equal
0.76,0.794,20,equal
0.488,0.507,20,equal
0.893,0.895,20,equal
0.283,0.259,20,equal
0.557,0.539,20,equal
0.418,0.395,20,equal
0.384,0.4,20,equal
0.023,0.014,20,equal
0.846,0.845,20,equal
0.921,0.931,20,equal
0.186,0.188,20,equal
0.116,0.114,20,equal
0.547,0.556,20,equal
0.527,0.529,20,equal
0.984,0.979,20,equal
0.014,0.006,20,equal
0.009,0.006,20,equal
0.7,0.023,20,equal
0.766,0.794,20,equal
0.984,0.985,20,equal
0.646,0.646,20,equal
0.87,0.881,20,equal
0.4,0.444,20,equal
0.595,0.606,20,equal
0.559,0.566,20,equal
0.587,0.59,20,equal
0.659,0.642,20,equal
0.591,0.596,20,equal
0.208,0.23,20,equal
0.919,0.907,20,equal
0.718,0.707,20,equal
0.886,0.894,20,equal
0.303,0.293,20,equal
0.293,0.269,20,equal
0.596,0.623,20,equal
0.745,0.752,20,equal
0.143,0.022,20,equal
0.972,0.98,20,equal
0.187,0.201,20,equal
0.565,0.533,20,equal
0.251,0.288,20,equal
0.602,0.625,20,equal
0.645,0.649,20,equal
0.97,0.964,20,equal
0.459,0.484,20,equal
0.642,0.653,20,equal
0.049,0.067,20,equal
0.669,0.666,20,equal
0.215,0.21,20,equal
0.564,0.59,20,equal
0.66,0.647,20,equal
0.88,0.885,20,equal
0.838,0.855,20,equal
0.017,0.001,20,equal
0.499,0.536,20,equal
0.727,0.725,20,equal
0.89,0.92,20,equal
0.329,0.342,20,equal
0.544,0.521,20,equal
0.938,0.946,20,equal
0.44,0.432,20,equal
0.562,0.559,20,equal
0.271,0.253,20,equal
0.984,0.985,20,equal
0.997,0.992,20,equal
0.845,0.848,20,equal
0.866,0.881,20,equal
0.238,0.247,20,equal
0.474,0.482,20,equal
0.837,0.826,20,equal
0.043,0.043,20,equal
0.868,0.848,20,equal
0.886,0.891,20,equal
0.335,0.327,20,equal
0.885,0.868,20,equal
0.711,0.727,20,equal
0.987,0.991,20,equal
0.778,0.794,20,equal
0.299,0.351,20,equal
0.482,0.456,20,equal
0.193,0.205,20,equal
0.764,0.785,20,equal
0.547,0.531,20,equal
0.813,0.815,20,equal
0.604,0.571,20,equal
0.348,0.319,20,equal
0.401,0.398,20,equal
0.337,0.336,20,equal
0.467,0.442,20,equal
0.578,0.579,20,equal
0.428,0.413,20,equal
0.506,0.509,20,equal
0.879,0.894,20,equal
0.49,0.448,20,equal
0.481,0.498,20,equal
0.748,0.753,20,equal
0.584,0.638,20,equal
0.044,0.036,20,equal
0.351,0.372,20,equal
0.801,0.769,20,equal
0.109,0.109,20,equal
0.886,0.878,20,equal
0.671,0.666,20,equal
0.169,0.147,20,equal
0.977,0.979,20,equal
0.747,0.76,20,equal
0.175,0.143,20,equal
0.318,0.331,20,equal
0.62,0.589,20,equal
0.347,0.37,20,equal
0.632,0.599,20,equal
0.57,0.586,20,equal
0.472,0.488,20,equal
0.941,0.932,20,equal
0.262,0.274,20,equal
0.761,0.764,20,equal
0.095,0.095,20,equal
0.631,0.618,20,equal
0.055,0.056,20,equal
0.519,0.519,20,equal
0.695,0.69,20,equal
0.429,0.394,20,equal
0.826,0.808,20,equal
0.127,0.146,20,equal
0.584,0.599,20,equal
0.141,0.152,20,equal
0.249,0.26,20,equal
0.656,0.64,20,equal
0.218,0.193,20,equal
0.337,0.32,20,equal
0.402,0.384,20,equal
0.76,0.756,20,equal
0.356,0.341,20,equal
0.158,0.171,20,equal
0.947,0.925,20,equal
0.49,0.487,20,equal
0.148,0.128,20,equal
0.043,0.057,20,equal
0.666,0.667,20,equal
0.717,0.708,20,equal
0.433,0.428,20,equal
0.331,0.361,20,equal
0.652,0.647,20,equal
0.02,0.042,20,equal
0.663,0.686,20,equal
0.5,0.508,20,equal
0.255,0.255,20,equal
0.848,0.834,20,equal
0.098,0.096,20,equal
0.334,0.318,20,equal
0.692,0.677,20,equal
0.86,0.855,20,equal
0.708,0.655,20,equal
0.869,0.866,20,equal
0.748,0.764,20,equal
0.304,0.302,20,equal
0.581,0.609,20,equal
0.194,0.193,20,equal
0.142,0.14,20,equal
0.694,0.691,20,equal
0.511,0.493,20,equal
0.177,0.186,20,equal
0.958,0.963,20,equal
0.46,0.461,20,equal
0.036,0.037,20,equal
0.127,0.149,20,equal
0.319,0.323,20,equal
0.681,0.675,20,equal
0.47,0.49,20,equal
0.401,0.375,20,equal
0.388,0.389,20,equal
0.351,0.368,20,equal
0.709,0.704,20,equal
0.481,0.504,20,equal
0.812,0.813,20,equal
0.474,0.477,20,equal
0.69,0.729,20,equal
0.321,0.296,20,equal
0.541,0.538,20,equal
0.626,0.643,20,equal
0.371,0.347,20,equal
0.558,0.535,20,equal
0.627,0.66,20,equal
0.704,0.71,20,equal
0.993,0.997,20,equal
0.273,0.259,20,equal
0.325,0.33,20,equal
0.311,0.319,20,equal
0.154,0.166,20,equal
0.286,0.279,20,equal
0.584,0.584,20,equal
0.685,0.668,20,equal
0.666,0.686,20,equal
0.814,0.804,20,equal
0.719,0.7,20,equal
0.993,0.993,20,equal
0.725,0.744,20,equal
0.434,0.457,20,equal
0.658,0.676,20,equal
0.616,0.619,20,equal
0.461,0.455,20,equal
0.745,0.751,20,equal
0.178,0.195,20,equal
0.819,0.822,20,equal
0.702,0.725,20,equal
0.165,0.135,20,equal
0.589,0.617,20,equal
0.048,0.049,20,equal
0.861,0.883,20,equal
0.254,0.239,20,equal
0.497,0.519,20,equal
0.75,0.767,20,equal
0.327,0.333,20,equal
0.611,0.58,20,equal
0.758,0.766,20,equal
0.361,0.36,20,equal
0.896,0.873,20,equal
0.653,0.652,20,equal
0.578,0.583,20,equal
0.865,0.849,20,equal
0.765,0.772,20,equal
0.98,0.987,20,equal
0.827,0.838,20,equal
0.655,0.631,20,equal
0.058,0.067,20,equal
0.494,0.492,20,equal
0.436,0.44,20,equal
0.555,0.583,20,equal
0.279,0.278,20,equal
0.406,0.384,20,equal
0.992,0.996,20,equal
0.938,0.943,20,equal
0.189,0.168,20,equal
0.542,0.527,20,equal
0.278,0.305,20,equal
0.845,0.822,20,equal
0.212,0.215,20,equal
0.311,0.296,20,equal
0.235,0.243,20,equal
0.622,0.636,20,equal
0.273,0.287,20,equal
0.936,0.903,20,equal
0.859,0.878,20,equal
0.798,0.822,20,equal
0.774,0.779,20,equal
0.362,0.379,20,equal
0.736,0.758,20,equal
0.894,0.904,20,equal
0.444,0.465,20,equal
0.765,0.793,20,equal
0.767,0.781,20,equal
0.845,0.84,20,equal
0.096,0.027,20,equal
0.184,0.167,20,equal
0.946,0.936,20,equal
0.8,0.789,20,equal
0.857,0.844,20,equal
0.046,0.013,20,equal
0.752,0.771,20,equal
0.273,0.259,20,equal
0.484,0.506,20,equal
0.119,0.133,20,equal
0.665,0.649,20,equal
0.649,0.644,20,equal
0.099,0.12,20,equal
0.876,0.863,20,equal
0.64,0.624,20,equal
0.734,0.744,20,equal
0.475,0.462,20,equal
0.849,0.874,20,equal
0.79,0.765,20,equal
0.487,0.52,20,equal
0.189,0.189,20,equal
0.738,0.741,20,equal
0.346,0.375,20,equal
0.008,0.017,20,equal
0.727,0.717,20,equal
0.881,0.905,20,equal
0.111,0.127,20,equal
0.763,0.741,20,equal
0.62,0.603,20,equal
0.589,0.586,20,equal
0.254,0.252,20,equal
0.869,0.868,20,equal
0.29,0.295,20,equal
0.898,0.903,20,equal
0.404,0.397,20,equal
0.63,0.609,20,equal
0.28,0.267,20,equal
0.738,0.747,20,equal
0.321,0.303,20,equal
0.962,0.964,20,equal
0.722,0.719,20,equal
0.969,0.956,20,equal
0.111,0.124,20,equal
0.304,0.298,20,equal
0.045,0.006,20,equal
0.629,0.652,20,equal
0.383,0.356,20,equal
0.876,0.849,20,equal
0.369,0.339,20,equal
0.053,0.066,20,equal
0.525,0.518,20,equal
0.079,0.087,20,equal
0.464,0.432,20,equal
0.584,0.613,20,equal
0.416,0.446,20,equal
0.851,0.842,20,equal
0.459,0.468,20,equal
0.686,0.704,20,equal
0.573,0.554,20,equal
0.428,0.425,20,equal
0.016,0.026,20,equal
0.963,0.957,20,equal
0.399,0.364,20,equal
0.485,0.51,20,equal
0.004,0.002,20,equal
0.481,0.496,20,equal
0.242,0.02,20,equal
0.129,0.129,20,equal
0.558,0.593,20,equal
0.284,0.306,20,equal
0.252,0.278,20,equal
0.625,0.59,20,equal
0.733,0.728,20,equal
0.704,0.683,20,equal
0.796,0.791,20,equal
0.403,0.414,20,equal
0.514,0.52,20,equal
0.976,0.977,20,equal
0.157,0.183,20,equal
0.254,0.257,20,equal
0.186,0.197,20,equal
0.767,0.758,20,equal
0.01,0.008,20,equal
0.121,0.134,20,equal
0.963,0.959,20,equal
0.716,0.675,20,equal
0.716,0.73,20,equal
0.693,0.676,20,equal
0.193,0.18,20,equal
0.252,0.248,20,equal
0.972,0.984,20,equal
0.966,0.96,20,equal
0.418,0.41,20,equal
0.422,0.433,20,equal
0.767,0.783,20,equal
0.188,0.168,20,equal
0.129,0.124,20,equal
0.761,0.766,20,equal
0.332,0.333,20,equal
0.51,0.484,20,equal
0.534,0.518,20,equal
0.628,0.608,20,equal
0.793,0.786,20,equal
0.982,0.976,20,equal
0.948,0.94,20,equal
0.436,0.438,20,equal
0.634,0.611,20,equal
0.942,0.951,20,equal
0.956,0.953,20,equal
0.566,0.558,20,equal
0.552,0.559,20,equal
0.699,0.714,20,equal
0.265,0.275,20,equal
0.772,0.817,20,equal
0.94,0.94,20,equal
0.525,0.564,20,equal
0.578,0.552,20,equal
0.989,0.991,20,equal
0.427,0.413,20,equal
0.72,0.717,20,equal
0.271,0.263,20,equal
0.567,0.54,20,equal
0.27,0.303,20,equal
0.463,0.485,20,equal
0.4,0.415,20,equal
0.097,0.094,20,equal
0.074,0.103,20,equal
0.014,0.016,20,equal
0.903,0.882,20,equal
0.267,0.327,20,equal
0.626,0.632,20,equal
0.814,0.823,20,equal
0.009,0.011,20,equal
0.015,0.009,20,equal
0.734,0.747,20,equal
0.644,0.651,20,equal
0.393,0.356,20,equal
0.305,0.301,20,equal
0.759,0.784,20,equal
0.961,0.965,20,equal
0.628,0.627,20,equal
0.179,0.164,20,equal
0.268,0.233,20,equal
0.214,0.24,20,equal
0.175,0.168,20,equal
0.635,0.588,20,equal
0.435,0.018,20,equal
0.025,0.005,20,equal
0.475,0.485,20,equal
0.563,0.575,20,equal
0.306,0.304,20,equal
0.691,0.681,20,equal
0.324,0.345,20,equal
0.13,0.146,20,equal
0.131,0.131,20,equal
0.854,0.877,20,equal
0.952,0.951,20,equal
0.853,0.843,20,equal
0.609,0.608,20,equal
0.668,0.675,20,equal
0.587,0.572,20,equal
0.892,0.876,20,equal
0.371,0.365,20,equal
0.329,0.32,20,equal
0.879,0.874,20,equal
0.641,0.66,20,equal
0.046,0.055,20,equal
0.109,0.117,20,equal
0.809,0.787,20,equal
0.218,0.218,20,equal
0.203,0.19,20,equal
0.374,0.385,20,equal
0.698,0.694,20,equal
0.687,0.668,20,equal
0.867,0.864,20,equal
0.395,0.375,20,equal
0.994,0.988,20,equal
0.527,0.541,20,equal
0.858,0.888,20,equal
0.728,0.756,20,equal
0.233,0.26,20,equal
0.34,0.334,20,equal
0.478,0.495,20,equal
0.027,0.042,20,equal
0.691,0.681,20,equal
0.108,0.106,20,equal
0.402,0.418,20,equal
0.611,0.637,20,equal
0.519,0.545,20,equal
0.818,0.809,20,equal
0.184,0.212,20,equal
0.333,0.361,20,equal
0.656,0.658,20,equal
0.403,0.437,20,equal
0.691,0.684,20,equal
0.269,0.254,20,equal
0.425,0.439,20,equal
0.014,0.005,20,equal
0.727,0.712,20,equal
0.427,0.421,20,equal
0.426,0.445,20,equal
0.644,0.661,20,equal
0.23,0.216,20,equal
0.854,0.864,20,equal
0.9,0.886,20,equal
0.778,0.775,20,equal
0.734,0.752,20,equal
0.968,0.956,20,equal
0.246,0.255,20,equal
0.439,0.447,20,equal
0.779,0.77,20,equal
0.636,0.612,20,equal
0.257,0.257,20,equal
0.826,0.851,20,equal
0.167,0.174,20,equal
0.917,0.9,20,equal
0.739,0.745,20,equal
0.648,0.669,20,equal
0.955,0.969,20,equal
0.635,0.655,20,equal
0.642,0.609,20,equal
0.852,0.858,20,equal
0.277,0.283,20,equal
0.202,0.218,20,linear
0.274,0.271,20,linear
0.175,0.188,20,linear
0.172,0.16,20,linear
0.111,0.14,20,linear
0.3,0.33,20,linear
0.139,0.141,20,linear
0.095,0.095,20,linear
0.234,0.233,20,linear
0.022,0.022,20,linear
0.211,0.194,20,linear
0.178,0.175,20,linear
0.036,0.047,20,linear
0.013,0.026,20,linear
0.032,0.03,20,linear
0.24,0.225,20,linear
0.026,0.035,20,linear
0.037,0.03,20,linear
0.054,0.069,20,linear
0.05,0.058,20,linear
0.03,0.004,20,linear
0.05,0.066,20,linear
0.978,0.981,20,linear
0.588,0.652,20,linear
0.021,0.039,20,linear
0.091,0.117,20,linear
0.292,0.312,20,linear
0.004,0.003,20,linear
0.689,0.678,20,linear
0.063,0.022,20,linear
0.143,0.143,20,linear
0.15,0.149,20,linear
0.767,0.781,20,linear
0.181,0.169,20,linear
0.01,0.008,20,linear
0.085,0.09,20,linear
0.62,0.636,20,linear
0.75,0.778,20,linear
0.055,0.05,20,linear
0.092,0.102,20,linear
0.054,0.074,20,linear
0.879,0.888,20,linear
0.007,0.005,20,linear
0.127,0.148,20,linear
0.285,0.291,20,linear
0.475,0.493,20,linear
0.35,0.296,20,linear
0.589,0.59,20,linear
0.31,0.283,20,linear
0.249,0.202,20,linear
0.804,0.787,20,linear
0.013,0.016,20,linear
0.23,0.267,20,linear
0.573,0.547,20,linear
0.309,0.306,20,linear
0.34,0.326,20,linear
0.117,0.114,20,linear
0.097,0.102,20,linear
0.711,0.697,20,linear
0.125,0.101,20,linear
0.233,0.198,20,linear
0.304,0.321,20,linear
0.606,0.645,20,linear
0.467,0.471,20,linear
0.177,0.156,20,linear
0.338,0.338,20,linear
0.453,0.447,20,linear
0.153,0.154,20,linear
0.465,0.454,20,linear
0.915,0.917,20,linear
0.8,0.845,20,linear
0.194,0.214,20,linear
0.205,0.229,20,linear
0.188,0.183,20,linear
